User_ID,Signup_Date,KYC_Completed,KYC_Date,Account_Linked,Link_Date,Transaction_Completed,Transaction_Date,Support_Date,Issue_Type
U0719,2023-04-09,1,2023-04-14,1,2023-04-15,1,2023-04-29,2023-04-22,KYC Delay
U0914,2023-01-04,1,2023-01-07,1,2023-01-12,0,,2023-01-11,KYC Delay
U0296,2023-06-25,1,2023-06-27,1,2023-07-04,1,2023-07-13,2023-07-22,App Bug
U0054,2023-04-02,1,2023-04-06,1,2023-04-07,0,,2023-04-30,Trust Issue
U0282,2023-06-18,1,2023-06-20,0,,0,,2023-06-27,App Bug
U0018,2023-02-22,1,2023-02-26,0,,0,,2023-03-14,KYC Delay
U0916,2023-03-16,0,,0,,0,,2023-04-14,Link Failure
U0855,2023-05-07,1,2023-05-11,0,,0,,2023-05-18,Trust Issue
U0323,2023-01-06,1,2023-01-09,0,,0,,2023-01-08,Link Failure
U0898,2023-03-24,1,2023-03-25,1,2023-03-30,0,,2023-04-19,Trust Issue
U0103,2023-05-03,1,2023-05-05,1,2023-05-06,0,,2023-05-17,App Bug
U0292,2023-05-15,1,2023-05-18,1,2023-05-25,1,2023-06-05,2023-06-02,App Bug
U0680,2023-03-01,1,2023-03-06,0,,0,,2023-03-05,App Bug
U0272,2023-04-22,1,2023-04-26,0,,0,,2023-05-01,App Bug
U0854,2023-02-16,1,2023-02-18,1,2023-02-25,0,,2023-03-03,App Bug
U0930,2023-03-16,1,2023-03-17,1,2023-03-20,1,2023-03-29,2023-03-20,Link Failure
U0194,2023-01-02,1,2023-01-05,0,,0,,2023-01-19,App Bug
U0694,2023-04-25,1,2023-04-29,1,2023-05-05,1,2023-05-06,2023-05-09,KYC Delay
U0384,2023-02-20,0,,0,,0,,2023-03-13,KYC Delay
U0714,2023-01-27,1,2023-01-29,1,2023-02-05,1,2023-02-11,2023-02-21,Link Failure
U0525,2023-06-13,1,2023-06-18,0,,0,,2023-07-01,Trust Issue
U0496,2023-03-08,1,2023-03-10,0,,0,,2023-03-22,KYC Delay
U0293,2023-05-25,1,2023-05-27,0,,0,,2023-06-01,Trust Issue
U0300,2023-06-07,1,2023-06-10,1,2023-06-12,0,,2023-06-25,Link Failure
U0957,2023-05-22,0,,0,,0,,2023-06-06,Trust Issue
U0863,2023-01-14,1,2023-01-15,0,,0,,2023-02-01,Trust Issue
U0889,2023-04-19,1,2023-04-21,1,2023-04-25,1,2023-04-28,2023-04-28,Trust Issue
U0480,2023-03-21,1,2023-03-24,1,2023-03-26,1,2023-04-02,2023-04-02,Trust Issue
U0006,2023-03-13,1,2023-03-14,1,2023-03-15,0,,2023-04-03,Link Failure
U0528,2023-05-18,1,2023-05-19,0,,0,,2023-06-16,KYC Delay
U0339,2023-02-23,1,2023-02-24,1,2023-02-26,0,,2023-02-25,App Bug
U0755,2023-05-13,0,,0,,0,,2023-06-09,Trust Issue
U0830,2023-02-15,0,,0,,0,,2023-02-23,KYC Delay
U0683,2023-04-11,0,,0,,0,,2023-05-03,KYC Delay
U0553,2023-06-26,1,2023-07-01,1,2023-07-03,1,2023-07-10,2023-07-18,Link Failure
U0093,2023-03-29,1,2023-04-02,1,2023-04-04,0,,2023-04-16,KYC Delay
U0892,2023-04-21,1,2023-04-22,1,2023-04-26,1,2023-05-09,2023-05-02,Link Failure
U0135,2023-04-06,1,2023-04-07,1,2023-04-11,0,,2023-04-18,Trust Issue
U0166,2023-05-01,1,2023-05-03,1,2023-05-06,0,,2023-05-24,Trust Issue
U0170,2023-06-04,1,2023-06-05,0,,0,,2023-06-14,App Bug
U0123,2023-01-01,1,2023-01-06,1,2023-01-09,1,2023-01-20,2023-01-11,App Bug
U0454,2023-03-27,1,2023-04-01,0,,0,,2023-04-21,App Bug
U0332,2023-04-26,1,2023-04-27,1,2023-05-03,1,2023-05-15,2023-05-02,KYC Delay
U0878,2023-01-17,1,2023-01-20,1,2023-01-26,0,,2023-02-04,Trust Issue
U0318,2023-01-17,1,2023-01-20,1,2023-01-23,1,2023-01-25,2023-01-27,Link Failure
U0586,2023-03-17,1,2023-03-21,1,2023-03-24,0,,2023-04-04,App Bug
U0820,2023-04-02,1,2023-04-04,0,,0,,2023-04-27,Link Failure
U0875,2023-04-29,1,2023-05-02,1,2023-05-04,0,,2023-05-21,Link Failure
U0740,2023-04-23,1,2023-04-24,1,2023-05-01,0,,2023-05-13,App Bug
U0557,2023-03-17,1,2023-03-20,1,2023-03-26,0,,2023-04-14,Trust Issue
U0726,2023-04-12,1,2023-04-17,1,2023-04-19,1,2023-04-21,2023-04-20,App Bug
U0271,2023-03-25,1,2023-03-30,1,2023-04-03,1,2023-04-09,2023-04-18,Link Failure
U0705,2023-03-06,1,2023-03-07,1,2023-03-12,1,2023-03-16,2023-03-16,App Bug
U0037,2023-03-05,1,2023-03-06,1,2023-03-09,1,2023-03-20,2023-03-13,Link Failure
U0427,2023-03-31,1,2023-04-02,0,,0,,2023-04-14,Link Failure
U0171,2023-05-17,1,2023-05-19,1,2023-05-23,0,,2023-05-29,App Bug
U0512,2023-01-08,1,2023-01-13,1,2023-01-14,0,,2023-01-23,KYC Delay
U0179,2023-06-09,0,,0,,0,,2023-06-29,App Bug
U0157,2023-02-13,0,,0,,0,,2023-02-25,KYC Delay
U0424,2023-01-19,1,2023-01-20,1,2023-01-22,1,2023-01-31,2023-02-02,Link Failure
U0448,2023-01-22,1,2023-01-26,0,,0,,2023-02-06,Link Failure
U0011,2023-03-29,1,2023-03-30,1,2023-04-03,1,2023-04-05,2023-04-12,KYC Delay
U0181,2023-06-29,1,2023-07-02,1,2023-07-08,1,2023-07-19,2023-07-01,Link Failure
U0721,2023-05-29,1,2023-06-02,1,2023-06-07,1,2023-06-17,2023-06-07,KYC Delay
U0431,2023-05-07,1,2023-05-08,1,2023-05-13,0,,2023-05-20,KYC Delay
U0225,2023-05-27,1,2023-05-28,1,2023-06-01,1,2023-06-11,2023-06-16,Link Failure
U0596,2023-06-27,1,2023-06-28,1,2023-07-01,1,2023-07-12,2023-07-10,Trust Issue
U0151,2023-02-14,1,2023-02-18,1,2023-02-22,1,2023-03-02,2023-02-23,KYC Delay
U0257,2023-02-17,1,2023-02-19,0,,0,,2023-02-26,App Bug
U0096,2023-03-04,1,2023-03-05,1,2023-03-11,0,,2023-03-26,App Bug
U0309,2023-04-07,1,2023-04-12,1,2023-04-19,0,,2023-04-21,Link Failure
U0988,2023-06-12,1,2023-06-15,1,2023-06-16,1,2023-06-21,2023-06-25,Trust Issue
U0267,2023-04-23,0,,0,,0,,2023-05-10,Link Failure
U0785,2023-05-12,1,2023-05-13,1,2023-05-17,1,2023-05-29,2023-05-14,Trust Issue
U0290,2023-05-08,1,2023-05-10,1,2023-05-12,1,2023-05-21,2023-05-22,KYC Delay
U0667,2023-01-12,1,2023-01-14,0,,0,,2023-02-08,KYC Delay
U0265,2023-04-26,0,,0,,0,,2023-05-04,KYC Delay
U0398,2023-04-11,1,2023-04-14,1,2023-04-20,0,,2023-05-10,KYC Delay
U0763,2023-03-07,1,2023-03-12,1,2023-03-19,1,2023-03-27,2023-04-03,App Bug
U0052,2023-05-10,0,,0,,0,,2023-05-16,App Bug
U0153,2023-05-14,0,,0,,0,,2023-05-23,Link Failure
U0064,2023-05-12,1,2023-05-17,0,,0,,2023-06-07,Trust Issue
U0187,2023-05-10,1,2023-05-11,1,2023-05-16,1,2023-05-27,2023-06-07,KYC Delay
U0924,2023-01-31,1,2023-02-05,1,2023-02-11,0,,2023-02-15,KYC Delay
U0324,2023-04-09,1,2023-04-12,0,,0,,2023-05-03,Trust Issue
U0909,2023-02-02,1,2023-02-07,0,,0,,2023-02-16,Trust Issue
U0379,2023-04-02,1,2023-04-07,1,2023-04-12,1,2023-04-26,2023-04-18,Link Failure
U0975,2023-01-13,1,2023-01-14,1,2023-01-17,1,2023-01-28,2023-02-06,Trust Issue
U0053,2023-03-25,1,2023-03-26,1,2023-03-29,1,2023-04-04,2023-04-12,KYC Delay
U0660,2023-06-08,1,2023-06-10,1,2023-06-17,0,,2023-06-24,KYC Delay
U0307,2023-01-21,1,2023-01-22,1,2023-01-26,1,2023-02-03,2023-02-11,KYC Delay
U0141,2023-06-20,1,2023-06-25,0,,0,,2023-07-09,KYC Delay
U0849,2023-01-01,1,2023-01-05,1,2023-01-08,1,2023-01-11,2023-01-20,KYC Delay
U0797,2023-04-25,1,2023-04-26,1,2023-04-30,1,2023-05-01,2023-04-28,Link Failure
U0355,2023-06-10,1,2023-06-12,0,,0,,2023-06-15,KYC Delay
U0978,2023-03-25,1,2023-03-26,1,2023-03-30,1,2023-04-05,2023-03-27,Link Failure
U0498,2023-06-10,1,2023-06-14,1,2023-06-18,1,2023-06-24,2023-06-15,KYC Delay
U0045,2023-05-12,0,,0,,0,,2023-05-31,App Bug
U0147,2023-03-27,1,2023-04-01,1,2023-04-08,0,,2023-04-02,App Bug
U0570,2023-06-29,1,2023-06-30,1,2023-07-04,1,2023-07-13,2023-07-19,App Bug
U0837,2023-01-26,1,2023-01-28,1,2023-02-01,1,2023-02-13,2023-02-11,App Bug
U0577,2023-04-19,0,,0,,0,,2023-05-18,Link Failure
U0249,2023-05-09,0,,0,,0,,2023-05-18,Link Failure
