User_ID,Transaction_Date,Transaction_Amount
U0004,2023-01-29,661.27
U0008,2023-04-23,379.98
U0010,2023-03-29,627.23
U0011,2023-04-07,596.84
U0012,2023-05-10,315.7
U0016,2023-05-21,582.89
U0018,2023-03-05,357.56
U0020,2023-04-15,638.14
U0022,2023-02-25,1192.55
U0023,2023-05-26,326.32
U0024,2023-01-27,45.91
U0025,2023-06-28,1047.62
U0026,2023-03-21,668.61
U0027,2023-01-30,45.04
U0029,2023-03-11,48.41
U0030,2023-03-15,1006.64
U0032,2023-01-29,222.11
U0035,2023-05-09,602.44
U0036,2023-03-02,590.41
U0041,2023-01-30,1086.39
U0042,2023-03-23,786.25
U0043,2023-07-02,682.04
U0044,2023-02-03,418.27
U0048,2023-02-05,1232.63
U0049,2023-01-23,51.5
U0050,2023-04-19,664.29
U0057,2023-01-26,2200.65
U0060,2023-04-06,489.23
U0061,2023-06-23,954.86
U0063,2023-04-26,1328.62
U0065,2023-01-22,170.86
U0068,2023-04-29,262.34
U0072,2023-03-02,698.56
U0074,2023-01-24,499.0
U0075,2023-04-25,742.32
U0076,2023-02-28,211.97
U0079,2023-04-12,279.03
U0080,2023-05-05,940.68
U0081,2023-03-11,273.63
U0084,2023-05-18,303.24
U0085,2023-03-04,161.97
U0089,2023-03-20,183.58
U0090,2023-04-10,988.51
U0094,2023-05-29,260.21
U0099,2023-05-29,215.88
U0100,2023-06-25,509.9
U0102,2023-02-17,414.34
U0104,2023-01-22,717.14
U0105,2023-02-24,315.45
U0106,2023-02-04,458.12
U0107,2023-06-05,168.26
U0108,2023-03-29,520.16
U0109,2023-02-01,254.4
U0110,2023-06-21,758.47
U0119,2023-02-20,578.13
U0125,2023-06-11,437.53
U0127,2023-02-12,466.48
U0128,2023-06-04,858.22
U0135,2023-04-27,224.19
U0136,2023-03-06,110.93
U0139,2023-06-10,314.37
U0141,2023-07-09,60.57
U0142,2023-02-12,528.83
U0144,2023-01-25,875.44
U0146,2023-03-22,1614.47
U0148,2023-02-20,1298.05
U0151,2023-03-02,336.62
U0152,2023-03-22,507.34
U0154,2023-02-08,232.3
U0155,2023-02-18,765.22
U0164,2023-05-19,901.91
U0165,2023-02-09,56.68
U0167,2023-05-13,1716.68
U0169,2023-04-28,478.7
U0170,2023-06-18,476.88
U0172,2023-03-19,789.85
U0174,2023-03-09,437.17
U0176,2023-06-27,451.71
U0178,2023-05-06,101.56
U0182,2023-05-11,218.61
U0187,2023-05-21,669.4
U0188,2023-05-30,585.79
U0190,2023-04-26,973.39
U0193,2023-05-02,781.08
U0196,2023-03-07,801.69
U0198,2023-05-27,300.46
U0199,2023-06-12,307.88
U0200,2023-05-25,806.39
U0203,2023-07-10,334.03
U0205,2023-06-21,587.81
U0207,2023-05-15,484.19
U0208,2023-06-05,204.84
U0209,2023-02-17,414.68
